epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4892,1.86552,3.14953,2.03245,0.48233,0.10235,0.20018,0.06912,2.37863,3.52923,2.40967,0.00032963,0.00032963,0.00032963
2,27.5007,1.69698,2.36606,1.86633,0.44509,0.30315,0.23713,0.07023,2.42456,3.79972,2.79659,0.000649836,0.000649836,0.000649836
3,39.6033,1.69414,2.23119,1.85179,0.44484,0.35733,0.29621,0.11232,2.44244,2.93732,2.50799,0.000956843,0.000956843,0.000956843
4,51.746,1.67128,2.09726,1.81218,0.3652,0.4741,0.34122,0.13396,2.02263,2.78559,2.13023,0.0009406,0.0009406,0.0009406
5,63.4151,1.66543,2.0186,1.81496,0.51981,0.39399,0.36518,0.13635,2.17668,2.60859,2.21034,0.0009208,0.0009208,0.0009208
6,75.2984,1.59818,1.94627,1.76749,0.40593,0.43098,0.36844,0.14517,2.1501,2.35456,2.24886,0.000901,0.000901,0.000901
7,87.1521,1.60321,1.89005,1.76485,0.44472,0.54018,0.47379,0.18069,2.15027,2.19104,2.16358,0.0008812,0.0008812,0.0008812
8,98.8184,1.5827,1.85899,1.76541,0.45432,0.50325,0.46913,0.17303,2.13101,2.17089,2.14315,0.0008614,0.0008614,0.0008614
9,110.574,1.54595,1.76647,1.7278,0.56391,0.49117,0.54253,0.20787,2.01519,2.01337,2.08246,0.0008416,0.0008416,0.0008416
10,122.256,1.53853,1.73851,1.71615,0.63947,0.39583,0.46608,0.17764,2.26609,2.13165,2.29932,0.0008218,0.0008218,0.0008218
11,134.26,1.53324,1.75681,1.73114,0.57097,0.37486,0.39695,0.158,2.02596,2.34209,2.08363,0.000802,0.000802,0.000802
12,146.51,1.51069,1.65977,1.69787,0.44721,0.52292,0.50526,0.21923,1.9726,1.97436,2.03972,0.0007822,0.0007822,0.0007822
13,158.063,1.51374,1.70028,1.71557,0.54035,0.44973,0.5145,0.20542,2.06684,1.91155,2.08223,0.0007624,0.0007624,0.0007624
14,169.641,1.48447,1.66247,1.70619,0.5286,0.55962,0.57934,0.2385,1.92789,1.814,1.97477,0.0007426,0.0007426,0.0007426
15,181.311,1.46672,1.61801,1.6809,0.5582,0.53613,0.53979,0.21491,2.10435,1.85051,2.10821,0.0007228,0.0007228,0.0007228
16,192.753,1.48692,1.62472,1.68228,0.48797,0.60068,0.55825,0.22482,1.95091,1.8528,1.98155,0.000703,0.000703,0.000703
17,204.408,1.46719,1.60338,1.67717,0.51917,0.57175,0.55307,0.23768,1.90938,1.82166,1.95839,0.0006832,0.0006832,0.0006832
18,216.282,1.47276,1.58794,1.66985,0.7402,0.47974,0.60402,0.2896,1.78795,1.62399,1.89226,0.0006634,0.0006634,0.0006634
19,227.829,1.43417,1.52213,1.64203,0.55914,0.6061,0.58497,0.25876,1.79365,1.80827,1.86966,0.0006436,0.0006436,0.0006436
20,239.538,1.44134,1.56197,1.65683,0.5247,0.60201,0.58863,0.27597,1.74588,1.71525,1.86119,0.0006238,0.0006238,0.0006238
21,251.4,1.45088,1.50195,1.6464,0.58921,0.58106,0.61663,0.26233,1.88897,1.6534,1.96783,0.000604,0.000604,0.000604
22,263.062,1.42631,1.49658,1.64257,0.55391,0.63874,0.63788,0.26799,1.89581,1.63537,1.94743,0.0005842,0.0005842,0.0005842
23,274.546,1.42582,1.48602,1.64101,0.54058,0.59118,0.61581,0.28277,1.75342,1.67129,1.88337,0.0005644,0.0005644,0.0005644
24,286.072,1.42648,1.51284,1.64639,0.56922,0.60067,0.61255,0.27935,1.81632,1.61822,1.91399,0.0005446,0.0005446,0.0005446
25,297.78,1.40224,1.46471,1.61334,0.58195,0.56987,0.61346,0.24678,1.95337,1.63609,2.01747,0.0005248,0.0005248,0.0005248
26,309.311,1.39463,1.46801,1.61982,0.59111,0.60964,0.63276,0.30492,1.73328,1.56858,1.84483,0.000505,0.000505,0.000505
27,321.228,1.38459,1.44416,1.61393,0.62837,0.60158,0.66192,0.29644,1.77058,1.56161,1.89314,0.0004852,0.0004852,0.0004852
28,332.808,1.38877,1.44947,1.61891,0.63219,0.61731,0.64457,0.27488,1.8712,1.53086,1.94564,0.0004654,0.0004654,0.0004654
29,344.37,1.3674,1.42085,1.58558,0.6301,0.64558,0.65636,0.30712,1.71254,1.55148,1.83879,0.0004456,0.0004456,0.0004456
